Customer_Id,Age,Monthly_Income,Credit_Score,Credit_Score_Band,Loan_Amount,Interest_Rate,Loan_Term,Loan_Type,Debt_Income_Ratio,Repayment_Status,Transaction_Id,Gender,Transaction_Amount,Transaction_Type,Transaction_Date,Transaction_Year,Transaction_Month,Product_Id,Product_Name,Interaction_Date,Interaction_Year,Interaction_Day_Name,Interaction_Type,Transaction_Frequency
C04,40,147993.84,766,Excellent,282775.22,5.58,60,Personal,1.9107229057641857,0,fd6788f1-d559-4d9e-8abe-a24c6fe2e6d8,Female,87.3,Withdrawal,2024-08-22,2024,8,P023,Long-Term Loan,2024-02-18,2024,Sunday,Purchased,8
C013,46,54770.67,389,Poor,857276.16,9.75,12,Mortgage,15.652102849937751,0,2fd02c2b-e811-4134-8ad2-3513d843ce6f,Female,1109.94,Deposit,2024-10-20,2024,10,P015,Home Equity Line,2024-03-13,2024,Wednesday,Purchased,4
C049,67,168136.79,603,Fair,969914.25,11.98,24,Education,5.768602160181599,0,e7d0ca64-42de-46ad-9692-e2b7b2a9d509,Male,975.6,Withdrawal,2024-01-31,2024,1,P045,Pension Plan,2024-04-09,2024,Tuesday,Purchased,4
C081,40,128954.14,452,Poor,873806.25,8.28,60,Personal,6.776100790560117,0,13d5c868-2da7-4543-a3e5-8d2646c75d32,Female,115.58,Deposit,2024-01-30,2024,1,P017,Business Credit Line,2024-04-12,2024,Friday,Viewed,6
C040,42,130808.77,731,Good,747016.1,1.33,36,Mortgage,5.710749363364551,0,9629aa8d-d5b6-480f-a383-c4a38fd8afa9,Male,1817.55,Withdrawal,2024-07-08,2024,7,P026,Emergency Loan,2024-03-29,2024,Friday,Purchased,4
C036,44,161186.22,506,Poor,320139.13,5.85,12,Mortgage,1.986144535184211,0,cc889689-54e1-4fcd-b408-e36fc49ffb66,Female,1191.55,Withdrawal,2024-07-06,2024,7,P013,Bond,2024-08-23,2024,Friday,Viewed,7
C016,18,187042.68,508,Poor,878869.22,2.44,36,Education,4.698762977519356,0,3086f6f8-d990-47f9-9e3a-4aeccca76c7e,Female,355.07,Withdrawal,2024-02-22,2024,2,P07,Business Loan,2024-03-01,2024,Friday,Purchased,3
C062,26,90232.06,538,Poor,927056.6,11.08,48,Education,10.274137595883326,1,cf242878-c490-4c61-afe9-461509e24aa1,Female,930.1,Deposit,2024-07-16,2024,7,P037,Fixed Deposit,2024-08-15,2024,Thursday,Purchased,9
C097,37,52827.99,651,Fair,787845.57,12.62,12,Auto,14.91341181067082,1,38058b28-7678-409e-949c-27d1ccccbd33,Male,754.42,Deposit,2024-10-19,2024,10,P019,Home Improvement Loan,2024-07-04,2024,Thursday,Viewed,5
C010,62,100862.19,850,Excellent,148713.47,10.11,36,Business,1.4744223777016938,0,8bfae7c8-ea52-4aa7-a9cb-5a307fd46a8f,Male,963.86,Withdrawal,2024-01-04,2024,1,P030,Agricultural Loan,2024-06-13,2024,Thursday,Purchased,1
C074,69,77663.06,739,Good,217874.05,3.72,48,Business,2.805375554349777,0,a626c4a4-8b23-411e-8364-2965fcc3f65e,Male,1798.42,Deposit,2024-08-23,2024,8,P017,Business Credit Line,2024-01-28,2024,Sunday,Purchased,4
